Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16718268k(8513172k free), swap 19427980k(4197136k free)
CommandLine flags: -XX:InitialHeapSize=3221225472 -XX:MaxHeapSize=3221225472 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2022-01-17T00:25:49.879+0800: 0.320: [GC (Allocation Failure) 2022-01-17T00:25:49.879+0800: 0.320: [DefNew: 838912K->104832K(943744K), 0.0570563 secs] 838912K->198359K(3040896K), 0.0572032 secs] [Times: user=0.05 sys=0.02, real=0.06 secs] 
2022-01-17T00:25:50.020+0800: 0.459: [GC (Allocation Failure) 2022-01-17T00:25:50.020+0800: 0.459: [DefNew: 943744K->104832K(943744K), 0.0709151 secs] 1037271K->339921K(3040896K), 0.0709749 secs] [Times: user=0.02 sys=0.06, real=0.07 secs] 
2022-01-17T00:25:50.166+0800: 0.606: [GC (Allocation Failure) 2022-01-17T00:25:50.166+0800: 0.606: [DefNew: 943744K->104831K(943744K), 0.0547895 secs] 1178833K->485514K(3040896K), 0.0548518 secs] [Times: user=0.02 sys=0.03, real=0.06 secs] 
2022-01-17T00:25:50.300+0800: 0.740: [GC (Allocation Failure) 2022-01-17T00:25:50.300+0800: 0.740: [DefNew: 943743K->104831K(943744K), 0.0610511 secs] 1324426K->632187K(3040896K), 0.0611173 secs] [Times: user=0.03 sys=0.03, real=0.06 secs] 
2022-01-17T00:25:50.445+0800: 0.885: [GC (Allocation Failure) 2022-01-17T00:25:50.445+0800: 0.885: [DefNew: 943743K->104831K(943744K), 0.0593463 secs] 1471099K->772885K(3040896K), 0.0594145 secs] [Times: user=0.00 sys=0.06, real=0.06 secs] 
2022-01-17T00:25:50.588+0800: 1.028: [GC (Allocation Failure) 2022-01-17T00:25:50.588+0800: 1.028: [DefNew: 943743K->104831K(943744K), 0.0551506 secs] 1611797K->918601K(3040896K), 0.0552216 secs] [Times: user=0.03 sys=0.02, real=0.05 secs] 
2022-01-17T00:25:50.724+0800: 1.164: [GC (Allocation Failure) 2022-01-17T00:25:50.724+0800: 1.164: [DefNew: 943743K->104831K(943744K), 0.0600620 secs] 1757513K->1073719K(3040896K), 0.0601397 secs] [Times: user=0.03 sys=0.03, real=0.06 secs] 
2022-01-17T00:25:50.874+0800: 1.314: [GC (Allocation Failure) 2022-01-17T00:25:50.874+0800: 1.314: [DefNew: 943743K->104832K(943744K), 0.0546533 secs] 1912631K->1215918K(3040896K), 0.0547161 secs] [Times: user=0.01 sys=0.03, real=0.05 secs] 
2022-01-17T00:25:51.014+0800: 1.453: [GC (Allocation Failure) 2022-01-17T00:25:51.014+0800: 1.453: [DefNew: 943744K->104832K(943744K), 0.0641445 secs] 2054830K->1376087K(3040896K), 0.0641916 secs] [Times: user=0.03 sys=0.03, real=0.06 secs] 
2022-01-17T00:25:51.156+0800: 1.596: [GC (Allocation Failure) 2022-01-17T00:25:51.156+0800: 1.596: [DefNew: 943744K->104832K(943744K), 0.0632792 secs] 2214999K->1535780K(3040896K), 0.0633454 secs] [Times: user=0.05 sys=0.01, real=0.06 secs] 
2022-01-17T00:25:51.295+0800: 1.735: [GC (Allocation Failure) 2022-01-17T00:25:51.295+0800: 1.735: [DefNew: 943744K->104831K(943744K), 0.0640683 secs] 2374692K->1689886K(3040896K), 0.0641155 secs] [Times: user=0.03 sys=0.03, real=0.06 secs] 
2022-01-17T00:25:51.443+0800: 1.883: [GC (Allocation Failure) 2022-01-17T00:25:51.444+0800: 1.883: [DefNew: 943743K->104831K(943744K), 0.0639558 secs] 2528798K->1839334K(3040896K), 0.0640195 secs] [Times: user=0.03 sys=0.05, real=0.06 secs] 
2022-01-17T00:25:51.584+0800: 2.023: [GC (Allocation Failure) 2022-01-17T00:25:51.584+0800: 2.023: [DefNew: 943743K->104832K(943744K), 0.0560982 secs] 2678246K->1975100K(3040896K), 0.0561601 secs] [Times: user=0.03 sys=0.03, real=0.05 secs] 
2022-01-17T00:25:51.713+0800: 2.153: [GC (Allocation Failure) 2022-01-17T00:25:51.713+0800: 2.153: [DefNew: 943744K->104831K(943744K), 0.0599978 secs] 2814012K->2124560K(3040896K), 0.0600602 secs] [Times: user=0.02 sys=0.03, real=0.06 secs] 
2022-01-17T00:25:51.856+0800: 2.296: [GC (Allocation Failure) 2022-01-17T00:25:51.856+0800: 2.296: [DefNew: 943743K->943743K(943744K), 0.0000154 secs]2022-01-17T00:25:51.856+0800: 2.296: [Tenured: 2019728K->483139K(2097152K), 0.0592648 secs] 2963472K->483139K(3040896K), [Metaspace: 2702K->2702K(1056768K)], 0.0593639 secs] [Times: user=0.06 sys=0.00, real=0.06 secs] 
2022-01-17T00:25:51.999+0800: 2.440: [GC (Allocation Failure) 2022-01-17T00:25:51.999+0800: 2.440: [DefNew: 838912K->104831K(943744K), 0.0238395 secs] 1322051K->683594K(3040896K), 0.0239079 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2022-01-17T00:25:52.099+0800: 2.539: [GC (Allocation Failure) 2022-01-17T00:25:52.099+0800: 2.539: [DefNew: 943418K->104831K(943744K), 0.0281960 secs] 1522181K->820232K(3040896K), 0.0282555 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T00:25:52.203+0800: 2.643: [GC (Allocation Failure) 2022-01-17T00:25:52.203+0800: 2.643: [DefNew: 943743K->104832K(943744K), 0.0293015 secs] 1659144K->964830K(3040896K), 0.0293570 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T00:25:52.307+0800: 2.746: [GC (Allocation Failure) 2022-01-17T00:25:52.307+0800: 2.746: [DefNew: 943744K->104831K(943744K), 0.0317097 secs] 1803742K->1109348K(3040896K), 0.0317695 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T00:25:52.426+0800: 2.866: [GC (Allocation Failure) 2022-01-17T00:25:52.426+0800: 2.866: [DefNew: 943175K->104831K(943744K), 0.0312914 secs] 1947692K->1248411K(3040896K), 0.0313453 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T00:25:52.548+0800: 2.988: [GC (Allocation Failure) 2022-01-17T00:25:52.548+0800: 2.988: [DefNew: 943743K->104832K(943744K), 0.0333311 secs] 2087323K->1396121K(3040896K), 0.0334125 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
Heap
 def new generation   total 943744K, used 529864K [0x0000000700000000, 0x0000000740000000, 0x0000000740000000)
  eden space 838912K,  50% used [0x0000000700000000, 0x0000000719f120d0, 0x0000000733340000)
  from space 104832K, 100% used [0x0000000733340000, 0x00000007399a0000, 0x00000007399a0000)
  to   space 104832K,   0% used [0x00000007399a0000, 0x00000007399a0000, 0x0000000740000000)
 tenured generation   total 2097152K, used 1291289K [0x0000000740000000, 0x00000007c0000000, 0x00000007c0000000)
   the space 2097152K,  61% used [0x0000000740000000, 0x000000078ed064e8, 0x000000078ed06600, 0x00000007c0000000)
 Metaspace       used 2716K, capacity 4490K, committed 4864K, reserved 1056768K
  class space    used 291K, capacity 386K, committed 512K, reserved 1048576K
