Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16718268k(8491116k free), swap 19208636k(3951692k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2022-01-17T00:23:58.742+0800: 0.800: [Full GC (Ergonomics) [PSYoungGen: 131584K->0K(153088K)] [ParOldGen: 338234K->345748K(349696K)] 469818K->345748K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0374835 secs] [Times: user=0.25 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:58.792+0800: 0.850: [Full GC (Ergonomics) [PSYoungGen: 131584K->2940K(153088K)] [ParOldGen: 345748K->349346K(349696K)] 477332K->352287K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0381135 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:58.844+0800: 0.902: [Full GC (Ergonomics) [PSYoungGen: 131584K->4618K(153088K)] [ParOldGen: 349346K->349663K(349696K)] 480930K->354281K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0379942 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:58.894+0800: 0.952: [Full GC (Ergonomics) [PSYoungGen: 131584K->11891K(153088K)] [ParOldGen: 349663K->349637K(349696K)] 481247K->361529K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0393440 secs] [Times: user=0.47 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:58.946+0800: 1.005: [Full GC (Ergonomics) [PSYoungGen: 131584K->13717K(153088K)] [ParOldGen: 349637K->349531K(349696K)] 481221K->363249K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0429734 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:59.003+0800: 1.061: [Full GC (Ergonomics) [PSYoungGen: 131497K->12933K(153088K)] [ParOldGen: 349531K->349652K(349696K)] 481028K->362585K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0431911 secs] [Times: user=0.42 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:59.059+0800: 1.117: [Full GC (Ergonomics) [PSYoungGen: 131584K->11993K(153088K)] [ParOldGen: 349652K->349658K(349696K)] 481236K->361651K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0425818 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:59.118+0800: 1.175: [Full GC (Ergonomics) [PSYoungGen: 131395K->15241K(153088K)] [ParOldGen: 349658K->349346K(349696K)] 481053K->364588K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0449442 secs] [Times: user=0.24 sys=0.00, real=0.05 secs] 
2022-01-17T00:23:59.180+0800: 1.237: [Full GC (Ergonomics) [PSYoungGen: 131584K->14991K(153088K)] [ParOldGen: 349346K->349594K(349696K)] 480930K->364585K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0440755 secs] [Times: user=0.30 sys=0.00, real=0.04 secs] 
2022-01-17T00:23:59.240+0800: 1.299: [Full GC (Ergonomics) [PSYoungGen: 131530K->16920K(153088K)] [ParOldGen: 349594K->349319K(349696K)] 481125K->366240K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0475933 secs] [Times: user=0.19 sys=0.00, real=0.05 secs] 
