Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16718268k(8630500k free), swap 19924264k(4662884k free)
CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2022-01-17T02:06:43.046+0800: 3.164: [GC (Allocation Failure) [PSYoungGen: 1223161K->174590K(1223168K)] 3809567K->2891096K(4019712K), 0.0343156 secs] [Times: user=0.25 sys=0.06, real=0.04 secs] 
2022-01-17T02:06:43.081+0800: 3.199: [Full GC (Ergonomics) [PSYoungGen: 174590K->0K(1223168K)] [ParOldGen: 2716505K->376182K(2796544K)] 2891096K->376182K(4019712K), [Metaspace: 2709K->2709K(1056768K)], 0.0617433 secs] [Times: user=0.47 sys=0.02, real=0.06 secs] 
2022-01-17T02:06:43.238+0800: 3.356: [GC (Allocation Failure) [PSYoungGen: 1048576K->174591K(1223168K)] 1424758K->609114K(4019712K), 0.0248471 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:43.359+0800: 3.477: [GC (Allocation Failure) [PSYoungGen: 1223167K->174585K(1223168K)] 1657690K->731356K(4019712K), 0.0303436 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:43.481+0800: 3.600: [GC (Allocation Failure) [PSYoungGen: 1223161K->174589K(1223168K)] 1779932K->855582K(4019712K), 0.0306454 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:43.608+0800: 3.727: [GC (Allocation Failure) [PSYoungGen: 1223165K->174587K(1223168K)] 1904158K->983753K(4019712K), 0.0325548 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:43.733+0800: 3.851: [GC (Allocation Failure) [PSYoungGen: 1223163K->174578K(1223168K)] 2032329K->1112096K(4019712K), 0.0318146 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:43.858+0800: 3.976: [GC (Allocation Failure) [PSYoungGen: 1223154K->174587K(1223168K)] 2160672K->1239483K(4019712K), 0.0317406 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:43.983+0800: 4.101: [GC (Allocation Failure) [PSYoungGen: 1223163K->174576K(1223168K)] 2288059K->1361534K(4019712K), 0.0314001 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:44.111+0800: 4.229: [GC (Allocation Failure) [PSYoungGen: 1223152K->174585K(1223168K)] 2410110K->1492755K(4019712K), 0.0329900 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:44.239+0800: 4.357: [GC (Allocation Failure) [PSYoungGen: 1223161K->174590K(1223168K)] 2541331K->1618045K(4019712K), 0.0320377 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:44.367+0800: 4.486: [GC (Allocation Failure) [PSYoungGen: 1223166K->174589K(1223168K)] 2666621K->1740332K(4019712K), 0.0326602 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:44.500+0800: 4.618: [GC (Allocation Failure) [PSYoungGen: 1223165K->174582K(1223168K)] 2788908K->1885185K(4019712K), 0.0345879 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:44.632+0800: 4.750: [GC (Allocation Failure) [PSYoungGen: 1223158K->174590K(1223168K)] 2933761K->2012156K(4019712K), 0.0327140 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:44.757+0800: 4.875: [GC (Allocation Failure) [PSYoungGen: 1223166K->174587K(1223168K)] 3060732K->2141905K(4019712K), 0.0326243 secs] [Times: user=0.47 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:44.882+0800: 4.999: [GC (Allocation Failure) [PSYoungGen: 1223163K->174590K(1223168K)] 3190481K->2266165K(4019712K), 0.0319631 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:45.005+0800: 5.123: [GC (Allocation Failure) [PSYoungGen: 1223166K->174586K(1223168K)] 3314741K->2390292K(4019712K), 0.0324090 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:45.131+0800: 5.249: [GC (Allocation Failure) [PSYoungGen: 1223162K->174590K(1223168K)] 3438868K->2518180K(4019712K), 0.0330162 secs] [Times: user=0.34 sys=0.02, real=0.03 secs] 
