Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16718268k(8499768k free), swap 19208636k(3937772k free)
CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2022-01-17T02:06:10.694+0800: 3.630: [GC (Allocation Failure) 2022-01-17T02:06:10.694+0800: 3.630: [DefNew: 1118528K->139775K(1258304K), 0.0283885 secs] 1615617K->738791K(4054528K), 0.0284562 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:10.820+0800: 3.757: [GC (Allocation Failure) 2022-01-17T02:06:10.820+0800: 3.757: [DefNew: 1258303K->139775K(1258304K), 0.0346877 secs] 1857319K->899818K(4054528K), 0.0347500 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:10.959+0800: 3.896: [GC (Allocation Failure) 2022-01-17T02:06:10.959+0800: 3.896: [DefNew: 1258303K->139775K(1258304K), 0.0390270 secs] 2018346K->1065360K(4054528K), 0.0390924 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:11.103+0800: 4.039: [GC (Allocation Failure) 2022-01-17T02:06:11.103+0800: 4.039: [DefNew: 1258303K->139775K(1258304K), 0.0345908 secs] 2183888K->1223626K(4054528K), 0.0346794 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:11.238+0800: 4.175: [GC (Allocation Failure) 2022-01-17T02:06:11.238+0800: 4.175: [DefNew: 1258303K->139775K(1258304K), 0.0345273 secs] 2342154K->1379990K(4054528K), 0.0345934 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:11.373+0800: 4.309: [GC (Allocation Failure) 2022-01-17T02:06:11.373+0800: 4.309: [DefNew: 1258303K->139775K(1258304K), 0.0346757 secs] 2498518K->1542273K(4054528K), 0.0347238 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:11.507+0800: 4.443: [GC (Allocation Failure) 2022-01-17T02:06:11.507+0800: 4.443: [DefNew: 1258303K->139775K(1258304K), 0.0337078 secs] 2660801K->1689283K(4054528K), 0.0337801 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:11.639+0800: 4.576: [GC (Allocation Failure) 2022-01-17T02:06:11.639+0800: 4.576: [DefNew: 1258303K->139775K(1258304K), 0.0337976 secs] 2807811K->1842644K(4054528K), 0.0338496 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:11.774+0800: 4.710: [GC (Allocation Failure) 2022-01-17T02:06:11.774+0800: 4.710: [DefNew: 1258303K->139775K(1258304K), 0.0330377 secs] 2961172K->1987417K(4054528K), 0.0331182 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:11.906+0800: 4.842: [GC (Allocation Failure) 2022-01-17T02:06:11.906+0800: 4.842: [DefNew: 1258303K->139776K(1258304K), 0.0338065 secs] 3105945K->2140044K(4054528K), 0.0338612 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
